handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
Product_5597,Product,The Majestic Quran English text,Holy Quran,52b5c8_e83f201a97fa40aa83ad1de16d9a6436~mv2.jpg;52b5c8_bf24d068df184bed9b25d962cfca1ea9~mv2.jpg,Quran,9781902248844,,60.0,,true,PERCENT,0.0,48,,,,,,,,,,,,,,,,,,,,,Publisher,INVITATION PUBLISHING LTD,Author,Musharraf Hussain,Language,English,,,,,,,,,,,,,
Product_5598,Product,The Quran Medium (Tamil),Holy Quran,52b5c8_450be126c909425eb2a95a68ccf705d7~mv2.avif,Quran,9789389766509,,30.0,,true,PERCENT,0.0,47,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Dr.Habibullah,Language,Tamil,,,,,,,,,,,,,
Product_5599,Product,The Quran (Gujarathi),Holy Quran,52b5c8_046aca9092b6443c8a79d08a385292e3~mv2.jpg,Quran,9789351791706,,25.0,,true,PERCENT,0.0,9,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Maulana Wahiduddin Khan,Language,Gujrathi,,,,,,,,,,,,,
Product_5471,Product,Holy Quran PU Cover 14x20 Arabic (Premium),Holy Quran,,Quran,9786333570243,,50.0,,true,PERCENT,0.0,12,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Dar Al Resalah,Language,Arabic,,,,,,,,,,,,,
Product_5472,Product,Holy Quran PU Cover 17x24  Arabic(PUGW),Holy Quran,,Islamic,9786333570250,,80.0,,true,PERCENT,0.0,26,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Masar Printing,Language,Arabic,,,,,,,,,,,,,
Product_5473,Product,Stories From The Quran Coloring Big Book,Colourful ways to learn about the stories from the Quran. These colouring books feature an exciting but simple read-aloud text with large and beautiful illustrations which children will love to colour,52b5c8_42f0b556db0c496688ece80a4f25732b~mv2.jpg,Islamic,9786333571295,,35.0,,true,PERCENT,0.0,116,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Saniyasnain Khan,Language,English,,,,,,,,,,,,,
Product_5474,Product,The Brave Boy PB,"Gift your child the greatest stories ever told with the Quran Stories for Little Hearts series, your essential tool for early Islamic education. The Holy Quran is a source rich in exciting stories, incredible adventures, profound teachings, and comforting prayers. This specially designed collection beautifully illustrates Allah's immense love for us and clearly explains what He requires from us as devoted believers and sincere servants of our Creator.",52b5c8_e6b636889a2b4612a50a62839f7d17ce~mv2.jpg,Islamic,9788178980218,,10.0,,true,PERCENT,0.0,5,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Saniyasnain Khan,Language,English,,,,,,,,,,,,,
Product_5475,Product,Tell Me About Creation - HB,"<p>The intention of this book is to enable us see the Miracle of Creation in things we often encounter in the world around us, but to which we give no special thought. Throughout our entire lives, most of us think only about our own materialistic needs and lead a life far removed from God, thus failing to see the evidence of Gods existence. For interested readers, this book will open up new horizons on the wonder of Gods Creation. Perusal and understanding this book will be important steps in arriving at an understanding of the Creator.</p>",52b5c8_4a4e29acf5ef48d5947785ceb0355623~mv2.jpg,Islamic,9788178980256,,40.0,,true,PERCENT,0.0,6,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Harun Yahya,Language,English,,,,,,,,,,,,,
Product_5476,Product,G/W Islamic Studies Text Book For Class 6,"This course has been designed to present the young students comprehensive Islamic education, comprising general Islamic knowledge based on the Quran and Hadith. Instead of teaching moral principles directly, they are taught through themes chosen from the Quran and other Islamic sources. A major portion of the course comprises the text of the Quran, which is followed by exercises to test the depth of understanding of the students. Though basically intended for use as a school text book, it is also an ideal tool for home schooling involving both the parents and the children. In this way children will nt only learn the ethical values conveyed by the message of Islam but will also be stimulated to want to know more about Islamic teachings when they grow up.",52b5c8_03f7d5d6d72a4503aad2a029e45e544a~mv2.jpg,Islamic,9788178980522,,20.0,,true,PERCENT,0.0,2,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,Saniyasnain Khan,Language,English,,,,,,,,,,,,,
Product_5477,Product,Brief illustrated Guide To Understaning Islam,This book is a brief guide to understanding Islam. It consists,52b5c8_e10a1331e088435289a70a82f918c34c~mv2.jpg,Islamic,9788178980720,,20.0,,true,PERCENT,0.0,115,,,,,,,,,,,,,,,,,,,,,Publisher,GOOD WORD BOOKS,Author,I.A. Ibrahim,Language,English,,,,,,,,,,,,,
