title,author,isbn,categoryName,price,stock,language,ribbon,description,publisher,coverImage,sortOrder
Tell Me About Creation - HB,Harun Yahya,9788178980256,Islamic,40,6,English,,"<p>The intention of this book is to enable us see the Miracle of Creation in things we often encounter in the world around us, but to which we give no special thought. Throughout our entire lives, most of us think only about our own materialistic needs and lead a life far removed from God, thus failing to see the evidence of Gods existence. For interested readers, this book will open up new horizons on the wonder of Gods Creation. Perusal and understanding this book will be important steps in arriving at an understanding of the Creator.</p>",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413599/rewaya_books/qhmhmqnvmvrjydjg1vfq.webp,44
G/W Islamic Studies Text Book For Class 6,Saniyasnain Khan,9788178980522,Islamic,20,2,English,,"This course has been designed to present the young students comprehensive Islamic education, comprising general Islamic knowledge based on the Quran and Hadith. Instead of teaching moral principles directly, they are taught through themes chosen from the Quran and other Islamic sources. A major portion of the course comprises the text of the Quran, which is followed by exercises to test the depth of understanding of the students. Though basically intended for use as a school text book, it is also an ideal tool for home schooling involving both the parents and the children. In this way children will nt only learn the ethical values conveyed by the message of Islam but will also be stimulated to want to know more about Islamic teachings when they grow up.",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413600/rewaya_books/uxszskik3d3xoh0xcucl.webp,45
Brief illustrated Guide To Understaning Islam,I.A. Ibrahim,9788178980720,Islamic,20,115,English,,This book is a brief guide to understanding Islam. It consists,GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413601/rewaya_books/r2c1gjlynapxxidcytce.webp,46
The Greatest Stories From The Quran (HB),Saniyasnain Khan,9788178983455,Islamic,45,41,English,,"Bring Quran Stories to Life for Your Kids! 30 action-packed Quran stories cover the periods from the Creation of the Prophet Adam to the devastating floods of the Prophet Nuh, from the days of cruelty of Firawn to the times of the Prophet Musa, form the days of the Prophet Isa to the advent of the Prophet Muhammad. Each one of these stories is short enough to finish in one sitting. Use The Greatest Stories from the Quran in the classroom or at home, at bedtime or at any other time.�",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413602/rewaya_books/abvaalaalo7mfxgsgh31.webp,47
The Sleepers In The Cave (PB),Saniyasnain Khan,9788178981031,Islamic,10,11,English,,The Sleepers in the Cave is a beautifully illustrated and creatively written story about the Seven Sleepers from Qur'an. It will capture the interest of children both at home and in the classroom.,GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413603/rewaya_books/wkvsitj2cm9f7okt2g99.webp,48
The Story Of Two Garden (PB),Saniyasnain Khan,9788178981161,Islamic,10,4,English,,The Story of Two Gardens is a beautifully illustrated and creatively written story about the Owner of Two Gardens. It will capture the interest of children both at home and in the classroom.,GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413604/rewaya_books/vnowji2e1ipkuemso3dj.webp,49
Fun To Color -The Story Of PH Dawud & Sulayman,Saniyasnain Khan,9788178981529,Islamic,10,3,English,,Quran Story Mazes the Story of the Prophet Dawud and Fun to Color and Do,GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413605/rewaya_books/bophet3woqfzmsj3upmx.webp,50
The Old Man's Prayer PB,Saniyasnain Khan,9788178981697,Islamic,10,91,English,,The Old Man's Prayer is a beautifully illustrated and creatively written story about the Prophet Zakariyya . It will capture the interest of children both at home and in the classroom.,GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413606/rewaya_books/e9xbakh23htgkrmgaort.webp,51
My Quran stories for little hearts gift box 3,Saniyasnain Khan,9788178981833,Islamic,50,16,English,,My Quran Stories for Little Hearts Gift: Box 3,GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413607/rewaya_books/lafw1h1wlfew4jhbj5mf.webp,52
My Yemani Village PB,Luqman Nagi,9788178981963,Islamic,5,14,English,,"<p>Dear Children: This book is for you. In it, Abd al-Nur, a boy from Yemen, will introduce you to the traditional culture of his beautiful mountain village. You will learn many new and interesting things about his life and the history of his very ancient country.</p>",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413608/rewaya_books/jlkqvciqx1hs00emwxo8.webp,53
My Salat Fun Book,Tahera Kassamali,9788178982380,Islamic,10,13,English,,Islamic Fun Books are designed to help children learn more about Islam in a creative and interesting manner. The books contain imaginative and interesting activities and illustrations to attract the attention of young children,GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413609/rewaya_books/dlvfnirrui5xje7tiiqu.webp,54
My Ramadan Fun Book,Tahera Kassamali,9788178982526,Islamic,10,46,English,,"Make this Ramadan unforgettable with the My Ramadan Fun Book, a must-have for inspiring little Muslim minds. This wonderful Islamic fun book is thoughtfully designed to help children learn more about Islamic beliefs and practices in a creative and interesting manner, making it an excellent resource for parents and teachers. It utilizes imaginative activities and captivating illustrations specifically designed to attract and hold the attention of young children today.",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413610/rewaya_books/xyrlbabxokezetrnougs.webp,55
My Quran Work Book,Tahera Kassamali,9788178982557,Islamic,10,82,English,,"<p>Make learning about faith a joyful family moment with the My Holy Quran Workbook, the perfect Islamic fun book for curious young minds. This vibrant resource is skillfully designed to help your children discover the beauty of Islam in a creative and highly engaging manner. It features imaginative and interesting activities combined with bright illustrations specifically crafted to capture and hold the attention of young children, making the lessons stick and building a strong foundation of faith through play.</p>",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413611/rewaya_books/e59llmyrcofpp8pj14zb.webp,56
The Importance of Patiance in the Quran,Harun Yahya,9788178982922,Islamic,25,13,English,,"<p>The Quran defines patience as one of the paths that lead people from darkness to light and as an attribute of morality that is superior to, wide-ranging, and very different from the daily behaviour of many people. True patience is a moral characteristic displayed in the face of difficulty and in every moment of life. Moreover, it requires the demonstration of determination and consistency during times of ease and hardship, and is a lifelong endeavour that never goes astray, even for a moment.Allah gives the most striking examples of patience in the lives of the Prophets, because they showed patience while teaching Allahs religion and leading a moral life. They never deviated from their devotion to Allah, and were patient people who sought only Allahs approval.This book will define this high moral virtue taught by the Quran and invite people to acquire true patience. Inaccurate understandings of patience will be explained along with the kind of patience Allah requires, how Allah may test people so that they can acquire a more perfect patience, and the great return Allah promises to those who exhibit great patience.</p>",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413612/rewaya_books/vjvinkogiqamojhstsml.webp,57
A-Z Ready For Reference Quran,Mohammad Imran Erfani,9788178983356,Islamic,40,31,English,,"The Quran, the fountainhead of knowledge, is read by millions of people throughout the world. Those who want to savoir its original heavenly flavor read the Quran in Arabic. Nevertheless, the need for a reference book on the Quran is felt by many of its readers. This ready Reference of the Quran, based on the translation of Abdullah Yusuf Ali, is a humble attempt to help those who are committed to studying the Quran and understanding its meaning and message. It presents an exhaustive list of all the important words used in the translation of the Quran with its accompanying verses. This book endeavors to make the reading of and reference to the Quran easy and accessible for everyone.",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413613/rewaya_books/d11mknnbcx03fkqqhzil.webp,58
Rivers Of Milk And Honey (PB),Saniyasnain Khan,9788178983653,Islamic,10,2,English,,"The Quran is full of exciting stories, adventures, teachings and prayers, which show Allah�s love for us and explain what He requires from us as believers in and sincere servants of our Creator. Quran Stories for Little Hearts series is specially designed to provide an easy way to help your children understand more about the stories of the Quran by enjoying them and learning from them in a natural way. It�s a wonderful way to explain the greatest stories of the Quran to children and encourage them to explore the meaning and purpose of the word of Allah. A simple text and magnificent colour illustrations will captivate young, active minds. It will capture the interest of children both at home and in the classroom.",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413614/rewaya_books/zs8o78d0488ivy46blwy.webp,59
Aminah & Aishas Eid Gift,Saniyasnain Khan,9788178983691,Islamic,10,14,English,,"This is the story of two little girls, Aminah and Aisha who decide to make special Eid boxes for the less fortunate members of their community. Through this act of kindness, they discover that the true joy of Eid lies in giving, rather than in receiving.",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413615/rewaya_books/cdeeqb7lc9wzqjcl9tcw.webp,60
Eid song,Saniyasnain Khan,9788178983899,Islamic,10,5,English,,"Eid-ul-Fitr is always an occasion for great fun and celebration. After a month-long Ramadan, everybody looks forward to a great Eid. Eid-ul-Fitr also calls for thanking Allah for His blessings, helping the poor and the needy around us and sharing our love and happiness with each other.",GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413616/rewaya_books/m5fbxcyto5bxbf07kchf.webp,61
